"","Year","Country","ActionWater","WaterType","Class_cane","Epidemic","YieldOldGrade","Type_Cane","GrooveWide","FertilizerType","TypeSoil","Fertilizer","TargetOldGrade","Yield","Area_Remain","ContractsArea","YieldGrade","FarmerContractGrade","TargetGrade","Rain_Avg"
"40525",1998,"India","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 1","K99-72","150 cm","Chemical","Ferus soil","46-0-0","Grade 1",142.88,85.78,480.92,"Grade 3","C","Grade 3",1071.02
"40526",1999,"Sri Lanka","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 3","Khonkean3","140 cm","Chemical","Ferus soil","15-15-15","Grade 2",198.03,59.33,432.45,"Grade 1","C","Grade 1",1487.33
"40527",2000,"India","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 3","K84-200","130 cm","Chemical","Ferus soil","46-0-0","Grade 2",168.74,75.14,338.21,"Grade 2","B","Grade 2",1253.77
"40529",2002,"Bangladesh","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 1","Khonkean3","130 cm","Chemical","Silty clay","25-07-2007","Grade 1",51.04,54.53,45.53,"Grade 3","C","Grade 2",1608.27
"40530",2003,"Bangladesh","Water pour","Groundwater","2nd ratoon cane","Preemergent","Grade 2","LK92-11","140 cm","Chemical","Ferus soil","25-07-2007","Grade 1",130.82,8.18,336.88,"Grade 3","A","Grade 3",1027.04
"40531",2004,"Pakistan","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 2","LK92-11","150 cm","Organic","Loam","25-07-2007","Grade 1",145.68,50.93,113.68,"Grade 2","B","Grade 3",2072.99
"40533",2006,"Bangladesh","Rain","Rain","2nd ratoon cane","Preemergent","Grade 3","Khonkean3","150 cm","Chemical","Loam","25-07-2007","Grade 3",63.08,30.71,43.86,"Grade 1","B","Grade 1",2540.55
"40534",2007,"Sri Lanka","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 2","Khonkean3","150 cm","Chemical","Loam","46-0-0","Grade 1",181.48,32.67,325.74,"Grade 3","A","Grade 2",2998.66
"40535",2008,"India","Rain","Rain","2nd ratoon cane","Herbicide","Grade 1","K99-72","120 cm","Organic","Silty clay","16-16-16","Grade 2",126.09,28.03,60.32,"Grade 3","C","Grade 2",2580.97
"40536",2009,"Nepal","Water pour","Rain","2nd ratoon cane","Herbicide","Grade 3","K99-72","140 cm","Chemical","Loam","15-15-15","Grade 2",129.54,19.44,144.25,"Grade 2","C","Grade 2",2472.57
"40537",2010,"Pakistan","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 2","Khonkean3","120 cm","Chemical","Loam","25-07-2007","Grade 3",118.15,15.32,475.24,"Grade 1","B","Grade 3",1389.43
"40538",2011,"Nepal","Water pour","Natural canal","1st ratoon cane","Preemergent","Grade 2","K99-72","150 cm","Chemical","Silty clay","16-16-16","Grade 1",115.39,41.98,283.82,"Grade 1","C","Grade 1",2589.33
"40541",2014,"India","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 2","Khonkean3","130 cm","Organic","Ferus soil","15-15-15","Grade 2",97.17,18.17,13.86,"Grade 2","C","Grade 3",2497
"40542",2015,"Pakistan","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 1","Khonkean3","130 cm","Chemical","Loam","15-15-15","Grade 2",62.2,85.84,95.84,"Grade 3","A","Grade 2",1091.99
"40543",2016,"Pakistan","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 2","K84-200","140 cm","Chemical","Loam","16-16-16","Grade 2",51.09,34.15,103.59,"Grade 3","B","Grade 2",1005.19
"40545",2018,"Nepal","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 2","K84-200","140 cm","Chemical","Loam","46-0-0","Grade 2",125.86,99.12,206.7,"Grade 3","C","Grade 3",655.54
"40546",2019,"Pakistan","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 2","K84-200","130 cm","Organic","Silty clay","25-07-2007","Grade 2",108.84,57.79,37.78,"Grade 2","B","Grade 1",2156.18
"40547",2020,"Sri Lanka","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 3","LK92-11","150 cm","Organic","Loam","16-16-16","Grade 2",148.48,65.04,183.94,"Grade 2","A","Grade 1",1077.19
"40548",2021,"Pakistan","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 3","LK92-11","130 cm","Organic","Loam","15-15-15","Grade 3",66.62,22.46,302.1,"Grade 1","B","Grade 2",1115.56
"40549",2022,"Sri Lanka","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 3","K99-72","150 cm","Organic","Silty clay","15-15-15","Grade 3",187.06,22.88,468.63,"Grade 3","B","Grade 3",2577.92
"40550",2023,"Nepal","Rain","Natural canal","1st ratoon cane","Herbicide","Grade 1","K99-72","140 cm","Chemical","Silty clay","16-16-16","Grade 2",147.37,44.64,224.47,"Grade 2","A","Grade 2",1288.82
"40551",1974,"Sri Lanka","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 3","Khonkean3","130 cm","Chemical","Loam","25-07-2007","Grade 2",166.71,33.44,482,"Grade 1","B","Grade 1",1741.52
"40552",1975,"India","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 3","K84-200","120 cm","Chemical","Loam","15-15-15","Grade 3",83.82,39.02,143.09,"Grade 1","A","Grade 3",983.23
"40553",1976,"Bangladesh","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 3","Khonkean3","140 cm","Organic","Silty clay","46-0-0","Grade 2",53.06,66.32,177.64,"Grade 3","B","Grade 3",2378.23
"40554",1977,"Pakistan","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 2","K84-200","120 cm","Organic","Ferus soil","15-15-15","Grade 1",122.14,70.02,253.33,"Grade 2","A","Grade 3",838.29
"40555",1978,"Nepal","Rain","Natural canal","1st ratoon cane","Preemergent","Grade 2","K84-200","140 cm","Chemical","Loam","46-0-0","Grade 3",115.88,68.56,207.22,"Grade 3","A","Grade 1",2735.37
"40556",1979,"Nepal","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 2","Khonkean3","120 cm","Organic","Ferus soil","25-07-2007","Grade 2",63.26,55.34,401.56,"Grade 1","A","Grade 2",2964.98
"40558",1981,"Sri Lanka","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 3","K84-200","130 cm","Organic","Loam","15-15-15","Grade 3",199.63,29.75,442.86,"Grade 3","B","Grade 3",902.92
"40560",1983,"Sri Lanka","Rain","Rain","1st ratoon cane","Herbicide","Grade 1","K84-200","130 cm","Chemical","Silty clay","16-16-16","Grade 3",150.49,72.03,155.17,"Grade 3","C","Grade 2",1526.1
"40561",1984,"Nepal","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 1","LK92-11","140 cm","Chemical","Silty clay","16-16-16","Grade 2",172.9,65.75,267.52,"Grade 2","C","Grade 3",2578.37
"40562",1985,"Bangladesh","Rain","Rain","1st ratoon cane","Herbicide","Grade 3","Khonkean3","130 cm","Organic","Loam","15-15-15","Grade 2",155.34,55.8,48.73,"Grade 1","C","Grade 2",2884.36
"40563",1986,"India","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 1","LK92-11","120 cm","Organic","Ferus soil","15-15-15","Grade 2",146.87,69.97,243.74,"Grade 1","B","Grade 2",2040.92
"40565",1988,"Sri Lanka","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 1","K99-72","130 cm","Chemical","Ferus soil","25-07-2007","Grade 1",59.04,17.1,421.89,"Grade 1","C","Grade 3",2406.77
"40566",1989,"Sri Lanka","Water pour","Rain","1st ratoon cane","Herbicide","Grade 2","LK92-11","150 cm","Organic","Ferus soil","16-16-16","Grade 3",102.43,54.47,80.8,"Grade 3","A","Grade 3",1820.54
"40567",1990,"Bangladesh","Rain","Rain","2nd ratoon cane","Preemergent","Grade 2","K84-200","130 cm","Chemical","Silty clay","15-15-15","Grade 2",125.41,35.71,92.41,"Grade 3","C","Grade 2",2522.06
"40568",1991,"Sri Lanka","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 1","LK92-11","120 cm","Organic","Ferus soil","16-16-16","Grade 2",87.11,73.23,121.03,"Grade 2","B","Grade 1",1463.87
"40569",1992,"Sri Lanka","Water pour","Groundwater","2nd ratoon cane","Preemergent","Grade 1","Khonkean3","140 cm","Chemical","Ferus soil","46-0-0","Grade 1",56.06,80.79,16.04,"Grade 1","C","Grade 2",1884.59
"40570",1993,"Sri Lanka","Rain","Rain","3rd ratoon cane","Preemergent","Grade 2","Khonkean3","140 cm","Organic","Silty clay","25-07-2007","Grade 3",63.28,64.37,497.69,"Grade 1","A","Grade 3",2165.95
"40571",1994,"Bangladesh","Rain","Rain","1st ratoon cane","Herbicide","Grade 1","K84-200","120 cm","Organic","Silty clay","16-16-16","Grade 3",107.08,66.76,265.62,"Grade 2","C","Grade 1",544.77
"40572",1995,"Sri Lanka","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 3","K99-72","140 cm","Chemical","Ferus soil","16-16-16","Grade 3",125.57,78.18,443.58,"Grade 3","B","Grade 3",2836.36
"40573",1996,"India","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 1","LK92-11","140 cm","Chemical","Ferus soil","25-07-2007","Grade 2",192.44,7.44,57.31,"Grade 1","A","Grade 2",746.75
"40574",1997,"Pakistan","Rain","Natural canal","1st ratoon cane","Herbicide","Grade 2","LK92-11","130 cm","Chemical","Loam","25-07-2007","Grade 1",167.84,44.01,490.33,"Grade 3","B","Grade 2",1269.7
"40575",1998,"Bangladesh","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 1","Khonkean3","120 cm","Organic","Silty clay","25-07-2007","Grade 2",89.32,95.21,430.06,"Grade 3","A","Grade 1",2107.23
"40576",1999,"Nepal","Rain","Rain","1st ratoon cane","Preemergent","Grade 2","LK92-11","130 cm","Organic","Loam","15-15-15","Grade 2",81.26,89.75,206.49,"Grade 2","C","Grade 1",2688.58
"40577",2000,"India","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 3","Khonkean3","150 cm","Organic","Silty clay","25-07-2007","Grade 2",186.16,64.39,245.27,"Grade 3","C","Grade 3",822.03
"40578",2001,"India","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 1","K84-200","150 cm","Chemical","Loam","15-15-15","Grade 2",74.74,80.43,223.61,"Grade 1","A","Grade 1",2717.98
"40579",2002,"India","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 1","K99-72","130 cm","Organic","Ferus soil","15-15-15","Grade 2",141.42,89.73,163.33,"Grade 2","A","Grade 1",2809.29
"40580",2003,"India","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 1","LK92-11","150 cm","Organic","Ferus soil","25-07-2007","Grade 2",157.41,85.1,478.22,"Grade 3","A","Grade 2",2600.92
"40581",2004,"Pakistan","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 3","K99-72","140 cm","Chemical","Ferus soil","16-16-16","Grade 1",105.33,60.73,377.75,"Grade 1","C","Grade 3",1913.79
"40587",2010,"Pakistan","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 2","K99-72","140 cm","Chemical","Silty clay","25-07-2007","Grade 3",84.07,73.06,300.94,"Grade 1","A","Grade 3",2117.63
"40588",2011,"Pakistan","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 2","Khonkean3","130 cm","Chemical","Silty clay","46-0-0","Grade 3",151.14,68.99,381.49,"Grade 2","C","Grade 1",1324.56
"40589",2012,"Sri Lanka","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 2","K99-72","120 cm","Chemical","Silty clay","16-16-16","Grade 3",139.94,46.53,152.98,"Grade 1","C","Grade 2",1297.48
"40590",2013,"India","Rain","Rain","2nd ratoon cane","Preemergent","Grade 1","K99-72","120 cm","Chemical","Silty clay","46-0-0","Grade 3",98.2,87.52,339.63,"Grade 1","A","Grade 3",1779.16
"40591",2014,"Sri Lanka","Rain","Groundwater","1st ratoon cane","Preemergent","Grade 1","K99-72","150 cm","Organic","Loam","15-15-15","Grade 3",167.95,21.68,325.83,"Grade 3","B","Grade 1",905.89
"40592",2015,"Pakistan","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 2","Khonkean3","150 cm","Organic","Ferus soil","15-15-15","Grade 1",166.65,23.39,378.29,"Grade 3","C","Grade 1",1551.96
"40593",2016,"Pakistan","Rain","Rain","1st ratoon cane","Preemergent","Grade 3","K99-72","150 cm","Chemical","Ferus soil","15-15-15","Grade 2",70.62,65.69,113.2,"Grade 1","A","Grade 1",2480.38
"40594",2017,"India","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 3","K84-200","120 cm","Chemical","Loam","16-16-16","Grade 2",126.25,34.42,160.95,"Grade 2","C","Grade 2",2438.93
"40595",2018,"Sri Lanka","Rain","Rain","3rd ratoon cane","Preemergent","Grade 1","K99-72","120 cm","Chemical","Ferus soil","16-16-16","Grade 2",101.34,74.39,194.79,"Grade 3","A","Grade 3",1363.36
"40596",2019,"Sri Lanka","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 2","Khonkean3","120 cm","Organic","Loam","46-0-0","Grade 1",186.94,93.62,286.28,"Grade 2","B","Grade 2",2322.63
"40597",2020,"Bangladesh","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 2","LK92-11","120 cm","Organic","Loam","15-15-15","Grade 2",55.23,68.16,463.55,"Grade 3","B","Grade 1",1683.58
"40598",2021,"Pakistan","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 3","LK92-11","150 cm","Chemical","Loam","46-0-0","Grade 2",196.52,96.35,145.95,"Grade 3","A","Grade 1",1814.29
"40599",2022,"Pakistan","Rain","Rain","2nd ratoon cane","Preemergent","Grade 3","LK92-11","150 cm","Organic","Loam","15-15-15","Grade 3",132.66,68.88,46.52,"Grade 3","C","Grade 1",1440.35
"40600",2023,"India","Water pour","Rain","1st ratoon cane","Preemergent","Grade 3","K99-72","120 cm","Chemical","Silty clay","15-15-15","Grade 3",56.01,76.41,332.93,"Grade 1","C","Grade 3",2786.25
"40601",1974,"Sri Lanka","Rain","Rain","3rd ratoon cane","Preemergent","Grade 1","K84-200","140 cm","Organic","Silty clay","25-07-2007","Grade 2",150.04,11.44,382.31,"Grade 3","A","Grade 2",1200.76
"40602",1975,"India","Rain","Rain","2nd ratoon cane","Preemergent","Grade 2","K84-200","120 cm","Organic","Ferus soil","46-0-0","Grade 1",196.26,39.88,469.74,"Grade 1","A","Grade 3",2175.34
"40603",1976,"India","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 2","K84-200","150 cm","Organic","Silty clay","16-16-16","Grade 1",180.65,75.05,16.09,"Grade 2","C","Grade 3",812.41
"40604",1977,"Sri Lanka","Water pour","Natural canal","1st ratoon cane","Preemergent","Grade 1","K99-72","130 cm","Chemical","Silty clay","16-16-16","Grade 3",80,62.29,433.01,"Grade 2","B","Grade 1",1154.37
"40605",1978,"Sri Lanka","Rain","Rain","2nd ratoon cane","Preemergent","Grade 3","Khonkean3","130 cm","Organic","Loam","15-15-15","Grade 2",161.43,20.25,256.3,"Grade 3","C","Grade 1",1921.37
"40606",1979,"Bangladesh","Water pour","Rain","1st ratoon cane","Preemergent","Grade 2","K84-200","130 cm","Chemical","Ferus soil","16-16-16","Grade 1",51.53,11.17,200.64,"Grade 3","C","Grade 3",1808.38
"40607",1980,"Bangladesh","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 2","Khonkean3","140 cm","Organic","Silty clay","15-15-15","Grade 2",66.66,92.13,188.43,"Grade 2","A","Grade 3",2601.08
"40609",1982,"Sri Lanka","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 2","Khonkean3","120 cm","Organic","Silty clay","15-15-15","Grade 1",180.82,40.22,309.87,"Grade 3","A","Grade 2",2638.81
"40610",1983,"Nepal","Rain","Rain","2nd ratoon cane","Preemergent","Grade 3","K84-200","150 cm","Chemical","Ferus soil","16-16-16","Grade 1",110.24,7.21,382.15,"Grade 1","A","Grade 2",2935.77
"40611",1984,"Bangladesh","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 1","K99-72","140 cm","Organic","Ferus soil","16-16-16","Grade 1",118.69,99.05,497.1,"Grade 3","C","Grade 3",1374.04
"40612",1985,"Sri Lanka","Water pour","Natural canal","1st ratoon cane","Preemergent","Grade 1","K84-200","130 cm","Chemical","Loam","15-15-15","Grade 2",59.5,35.42,23.35,"Grade 1","B","Grade 2",714.23
"40613",1986,"Nepal","Rain","Natural canal","1st ratoon cane","Preemergent","Grade 2","Khonkean3","120 cm","Organic","Loam","25-07-2007","Grade 2",167.91,88.75,262.61,"Grade 3","B","Grade 1",1406.27
"40614",1987,"Sri Lanka","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 3","K84-200","130 cm","Chemical","Loam","25-07-2007","Grade 2",127.33,59.9,141.1,"Grade 2","C","Grade 3",2063.19
"40615",1988,"Bangladesh","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 1","LK92-11","120 cm","Chemical","Loam","15-15-15","Grade 2",152.84,88.63,118.11,"Grade 2","A","Grade 2",2279.4
"40616",1989,"Sri Lanka","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 3","K99-72","140 cm","Chemical","Ferus soil","15-15-15","Grade 3",185.18,18.72,362,"Grade 2","A","Grade 1",2830.23
"40617",1990,"India","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 1","K99-72","130 cm","Chemical","Ferus soil","46-0-0","Grade 1",97.61,45.99,261.58,"Grade 2","B","Grade 3",2557.32
"40618",1991,"Nepal","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 2","Khonkean3","140 cm","Organic","Loam","15-15-15","Grade 2",152.2,88.63,299.42,"Grade 3","B","Grade 1",2780.11
"40619",1992,"Bangladesh","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 1","K99-72","140 cm","Chemical","Loam","15-15-15","Grade 1",99.62,9.25,47.87,"Grade 3","A","Grade 1",2624.5
"40620",1993,"Sri Lanka","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 1","K84-200","120 cm","Chemical","Loam","46-0-0","Grade 3",108.5,97.51,298.58,"Grade 1","A","Grade 3",2757.39
"40622",1995,"Bangladesh","Rain","Rain","2nd ratoon cane","Preemergent","Grade 3","K99-72","140 cm","Organic","Loam","15-15-15","Grade 1",99.03,29.01,443.15,"Grade 1","A","Grade 1",1140.3
"40624",1997,"Pakistan","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 2","Khonkean3","130 cm","Organic","Ferus soil","16-16-16","Grade 3",50.39,20.37,343.77,"Grade 2","A","Grade 3",2365.13
"40628",2001,"Sri Lanka","Water pour","Rain","1st ratoon cane","Herbicide","Grade 3","LK92-11","130 cm","Chemical","Loam","16-16-16","Grade 1",94.87,83.59,134.73,"Grade 3","B","Grade 2",2796.55
"40629",2002,"India","Rain","Rain","2nd ratoon cane","Preemergent","Grade 1","K99-72","140 cm","Chemical","Ferus soil","16-16-16","Grade 2",145.88,16.59,195.52,"Grade 2","A","Grade 3",1794.76
"40630",2003,"Nepal","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 3","K84-200","140 cm","Chemical","Ferus soil","25-07-2007","Grade 3",60.79,35.25,29.77,"Grade 1","B","Grade 1",1185.21
"40631",2004,"Bangladesh","Rain","Rain","1st ratoon cane","Preemergent","Grade 2","LK92-11","120 cm","Chemical","Ferus soil","46-0-0","Grade 2",187.53,81.81,328.09,"Grade 2","C","Grade 2",2161.6
"40634",2007,"Bangladesh","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 2","K99-72","120 cm","Chemical","Loam","15-15-15","Grade 2",107.94,40.79,201.71,"Grade 1","B","Grade 3",1221.08
"40636",2009,"Bangladesh","Water pour","Rain","1st ratoon cane","Preemergent","Grade 3","LK92-11","140 cm","Organic","Ferus soil","15-15-15","Grade 2",189.21,89.51,51.5,"Grade 2","B","Grade 3",2978.14
"40637",2010,"Nepal","Rain","Rain","2nd ratoon cane","Preemergent","Grade 2","LK92-11","150 cm","Organic","Ferus soil","16-16-16","Grade 2",95.74,43.29,96.55,"Grade 3","A","Grade 1",1570.28
"40638",2011,"Sri Lanka","Water pour","Natural canal","1st ratoon cane","Preemergent","Grade 1","LK92-11","140 cm","Organic","Silty clay","16-16-16","Grade 1",76.12,45.07,292.34,"Grade 3","C","Grade 3",1197.35
"40639",2012,"India","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 1","K99-72","150 cm","Organic","Loam","25-07-2007","Grade 2",94.42,30.57,173.58,"Grade 3","C","Grade 1",2783.87
"40640",2013,"Pakistan","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 2","LK92-11","130 cm","Chemical","Silty clay","46-0-0","Grade 1",103.42,15.19,393.48,"Grade 1","C","Grade 3",1606.7
"40641",2014,"Bangladesh","Water pour","Rain","2nd ratoon cane","Herbicide","Grade 1","K99-72","140 cm","Chemical","Loam","46-0-0","Grade 3",106.99,21.39,356.06,"Grade 1","C","Grade 1",535.42
"40642",2015,"India","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 2","K84-200","120 cm","Chemical","Loam","15-15-15","Grade 1",84.48,27.64,361.76,"Grade 1","B","Grade 3",804.88
"40643",2016,"Sri Lanka","Rain","Rain","3rd ratoon cane","Herbicide","Grade 2","K99-72","150 cm","Organic","Silty clay","25-07-2007","Grade 1",104.18,16.27,179.51,"Grade 2","B","Grade 1",2254.8
"40644",2017,"Sri Lanka","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 2","K99-72","130 cm","Organic","Loam","15-15-15","Grade 1",156.34,47.14,469.1,"Grade 3","B","Grade 2",996.78
"40646",2019,"India","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 2","K99-72","130 cm","Organic","Loam","25-07-2007","Grade 2",122.53,8.52,145.97,"Grade 2","C","Grade 1",1556.2
